epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0825,2.69728,8.84173,1.10348,0.3101,0.35316,0.22062,0.05252,2.93359,2.31525,1.04889,0.000659004,0.000659004,0.000659004
2,79.6404,2.52237,2.01177,1.03293,0.00112,0.11524,0.00061,0.0002,4.23464,795.458,1.86217,0.00131255,0.00131255,0.00131255
3,114.866,2.5098,1.84958,1.04169,0.19346,0.07807,0.03799,0.00759,3.62169,4.64228,1.23461,0.00195289,0.00195289,0.00195289
4,154.033,2.47554,1.85803,1.02494,0.36439,0.46097,0.26344,0.06437,2.92653,1.96488,1.07188,0.0019406,0.0019406,0.0019406
5,191.866,2.43518,1.83476,1.01017,0.3748,0.40892,0.2495,0.05383,3.16995,7.98076,1.10224,0.0019208,0.0019208,0.0019208
6,230.171,2.39735,1.74659,1.00847,0.37241,0.35688,0.21096,0.0442,3.11177,2.29478,1.08153,0.001901,0.001901,0.001901
7,270.233,2.38319,1.65901,1.00046,0.35384,0.33457,0.20506,0.0442,3.18565,2.38751,1.09614,0.0018812,0.0018812,0.0018812
8,310.256,2.32442,1.58919,0.99283,0.39932,0.4461,0.31087,0.08202,3.04421,2.12814,1.07396,0.0018614,0.0018614,0.0018614
9,350.334,2.30582,1.64226,0.98988,0.4704,0.40149,0.32089,0.08548,2.91708,1.62805,1.0462,0.0018416,0.0018416,0.0018416
10,386.885,2.27326,1.54791,0.98535,0.29404,0.36431,0.16665,0.03366,3.24474,2.11812,1.111,0.0018218,0.0018218,0.0018218
11,424.363,2.29433,1.57082,0.98989,0.37393,0.30855,0.1757,0.03403,3.43918,1.95146,1.15314,0.001802,0.001802,0.001802
12,464.491,2.25488,1.52017,0.97838,0.43492,0.40629,0.30358,0.06815,3.02388,1.72566,1.07079,0.0017822,0.0017822,0.0017822
13,504.42,2.23344,1.49851,0.96967,0.44564,0.42751,0.31278,0.0759,3.0339,2.17535,1.07342,0.0017624,0.0017624,0.0017624
14,543.141,2.2378,1.49324,0.97025,0.48611,0.42007,0.32352,0.07367,3.06597,1.77869,1.07104,0.0017426,0.0017426,0.0017426
15,583.033,2.20113,1.48175,0.96817,0.50967,0.53532,0.43282,0.11968,2.70758,2.52417,0.99752,0.0017228,0.0017228,0.0017228
16,624.352,2.20844,1.51679,0.96399,0.56475,0.50186,0.42292,0.11307,2.83993,1.82896,1.02577,0.001703,0.001703,0.001703
17,661.784,2.2021,1.46216,0.97266,0.5036,0.53532,0.40488,0.1008,2.8784,2.00365,1.01073,0.0016832,0.0016832,0.0016832
18,700.668,2.21107,1.44997,0.96456,0.50102,0.48699,0.39134,0.09837,2.84398,2.05194,1.02466,0.0016634,0.0016634,0.0016634
19,737.514,2.21585,1.43779,0.96043,0.51147,0.43494,0.33718,0.07624,3.05838,1.88615,1.06542,0.0016436,0.0016436,0.0016436
20,774.508,2.1762,1.42102,0.95866,0.52515,0.48103,0.42044,0.1154,2.76992,1.56104,1.00303,0.0016238,0.0016238,0.0016238
21,815.587,2.16698,1.45557,0.95388,0.47588,0.47255,0.3837,0.09431,2.8534,2.02334,1.02323,0.001604,0.001604,0.001604
22,854.2,2.12864,1.3715,0.94999,0.48551,0.49442,0.38825,0.0899,2.81112,1.80761,1.01472,0.0015842,0.0015842,0.0015842
23,895.343,2.14371,1.44627,0.95152,0.5008,0.50558,0.40296,0.09766,2.82186,2.44946,1.00586,0.0015644,0.0015644,0.0015644
24,935.479,2.1433,1.39682,0.95092,0.58574,0.54275,0.48233,0.13364,2.83977,1.57323,1.02564,0.0015446,0.0015446,0.0015446
25,975.606,2.12784,1.3402,0.95133,0.49216,0.57249,0.45007,0.10877,2.81101,1.61708,1.0076,0.0015248,0.0015248,0.0015248
26,1013.12,2.09387,1.33194,0.94531,0.42841,0.39033,0.25519,0.05129,3.22518,1.8715,1.0823,0.001505,0.001505,0.001505
27,1051.81,2.09343,1.38391,0.94403,0.56267,0.53532,0.47131,0.12884,2.69204,1.7281,1.00124,0.0014852,0.0014852,0.0014852
28,1090.24,2.13311,1.43376,0.94848,0.53429,0.49071,0.37777,0.08641,2.97661,1.88602,1.03207,0.0014654,0.0014654,0.0014654
29,1131.42,2.06372,1.33651,0.93669,0.52382,0.50558,0.3977,0.0845,2.94361,1.68863,1.02722,0.0014456,0.0014456,0.0014456
30,1168.49,2.06998,1.33015,0.93305,0.50127,0.49814,0.36808,0.08091,2.94086,2.45126,1.02219,0.0014258,0.0014258,0.0014258
31,1208.61,2.09735,1.34226,0.94733,0.53111,0.56424,0.46829,0.1403,2.55429,1.54066,0.97446,0.001406,0.001406,0.001406
32,1241.9,2.08053,1.31874,0.93914,0.51127,0.53903,0.43823,0.11868,2.65445,1.66656,0.97678,0.0013862,0.0013862,0.0013862
33,1282.45,2.05963,1.32769,0.92654,0.46316,0.50929,0.37294,0.08736,2.89704,1.58933,1.01146,0.0013664,0.0013664,0.0013664
34,1318.96,2.06932,1.29186,0.93627,0.55775,0.53532,0.44507,0.10168,2.80231,1.71139,0.99151,0.0013466,0.0013466,0.0013466
35,1357.58,2.04676,1.29074,0.93826,0.56881,0.56886,0.48159,0.11395,2.78699,1.53371,0.99099,0.0013268,0.0013268,0.0013268
36,1396.05,2.06502,1.27369,0.93805,0.51274,0.53903,0.44243,0.1164,2.75006,2.10488,0.98535,0.001307,0.001307,0.001307
37,1435.38,2.03037,1.28604,0.93909,0.60927,0.51592,0.48712,0.13214,2.6253,1.65849,0.96666,0.0012872,0.0012872,0.0012872
38,1471.61,1.97249,1.25918,0.92697,0.64966,0.53532,0.5276,0.14754,2.66146,1.54641,0.986,0.0012674,0.0012674,0.0012674
39,1509.69,2.02894,1.23705,0.92003,0.60359,0.62265,0.57523,0.20084,2.29199,1.57221,0.92924,0.0012476,0.0012476,0.0012476
40,1545.12,1.9978,1.27093,0.93168,0.61071,0.56506,0.55506,0.20036,2.32147,1.38807,0.92739,0.0012278,0.0012278,0.0012278
41,1577.56,1.99736,1.23683,0.92935,0.60231,0.55762,0.54616,0.17617,2.46472,1.46667,0.95347,0.001208,0.001208,0.001208
42,1615.07,2.02288,1.25946,0.94205,0.63177,0.59851,0.58177,0.1925,2.38952,1.36052,0.93178,0.0011882,0.0011882,0.0011882
43,1655.95,1.97327,1.21708,0.91914,0.61977,0.66047,0.59876,0.20713,2.24714,1.45054,0.92132,0.0011684,0.0011684,0.0011684
44,1693.5,1.96467,1.22318,0.92172,0.61969,0.5997,0.55501,0.18943,2.36412,1.37555,0.93516,0.0011486,0.0011486,0.0011486
45,1727.84,1.99367,1.2205,0.92923,0.62511,0.63569,0.58308,0.20325,2.30037,1.50493,0.92144,0.0011288,0.0011288,0.0011288
